B_T,epsilon_eff,kappa,Ec_meV,Delta_topo_meV,Delta_topo_K
10,3.5,0.05,50.696,2.535,29.41
10,3.5,0.1,50.696,5.07,58.83
10,3.5,0.15,50.696,7.604,88.24
10,4.0,0.05,44.359,2.218,25.74
10,4.0,0.1,44.359,4.436,51.48
10,4.0,0.15,44.359,6.654,77.21
10,6.0,0.05,29.573,1.479,17.16
10,6.0,0.1,29.573,2.957,34.32
10,6.0,0.15,29.573,4.436,51.48
10,10.0,0.05,17.744,0.887,10.3
10,10.0,0.1,17.744,1.774,20.59
10,10.0,0.15,17.744,2.662,30.89
15,3.5,0.05,62.089,3.104,36.03
15,3.5,0.1,62.089,6.209,72.05
15,3.5,0.15,62.089,9.313,108.08
15,4.0,0.05,54.328,2.716,31.52
15,4.0,0.1,54.328,5.433,63.05
15,4.0,0.15,54.328,8.149,94.57
15,6.0,0.05,36.219,1.811,21.02
15,6.0,0.1,36.219,3.622,42.03
15,6.0,0.15,36.219,5.433,63.05
15,10.0,0.05,21.731,1.087,12.61
15,10.0,0.1,21.731,2.173,25.22
15,10.0,0.15,21.731,3.26,37.83
20,3.5,0.05,71.695,3.585,41.6
20,3.5,0.1,71.695,7.169,83.2
20,3.5,0.15,71.695,10.754,124.8
20,4.0,0.05,62.733,3.137,36.4
20,4.0,0.1,62.733,6.273,72.8
20,4.0,0.15,62.733,9.41,109.2
20,6.0,0.05,41.822,2.091,24.27
20,6.0,0.1,41.822,4.182,48.53
20,6.0,0.15,41.822,6.273,72.8
20,10.0,0.05,25.093,1.255,14.56
20,10.0,0.1,25.093,2.509,29.12
20,10.0,0.15,25.093,3.764,43.68
30,3.5,0.05,87.808,4.39,50.95
30,3.5,0.1,87.808,8.781,101.9
30,3.5,0.15,87.808,13.171,152.84
30,4.0,0.05,76.832,3.842,44.58
30,4.0,0.1,76.832,7.683,89.16
30,4.0,0.15,76.832,11.525,133.74
30,6.0,0.05,51.221,2.561,29.72
30,6.0,0.1,51.221,5.122,59.44
30,6.0,0.15,51.221,7.683,89.16
30,10.0,0.05,30.733,1.537,17.83
30,10.0,0.1,30.733,3.073,35.66
30,10.0,0.15,30.733,4.61,53.5
45,3.5,0.05,107.542,5.377,62.4
45,3.5,0.1,107.542,10.754,124.8
45,3.5,0.15,107.542,16.131,187.2
45,4.0,0.05,94.099,4.705,54.6
45,4.0,0.1,94.099,9.41,109.2
45,4.0,0.15,94.099,14.115,163.8
45,6.0,0.05,62.733,3.137,36.4
45,6.0,0.1,62.733,6.273,72.8
45,6.0,0.15,62.733,9.41,109.2
45,10.0,0.05,37.64,1.882,21.84
45,10.0,0.1,37.64,3.764,43.68
45,10.0,0.15,37.64,5.646,65.52
